Gender_Female,Gender_Male,Gender_Not Recorded,Gender_Other ,Age Group_Adult,Age Group_Not Recorded,Age Group_Youth,Ethnicity (4+1)_Asian,Ethnicity (4+1)_Black,Ethnicity (4+1)_Not Recorded,Ethnicity (4+1)_Other ,Ethnicity (4+1)_White,First Arrest Offnece_Assault,First Arrest Offnece_Burglary,First Arrest Offnece_Driving,First Arrest Offnece_Drugs,First Arrest Offnece_Immigration,First Arrest Offnece_Murder,First Arrest Offnece_Offensive Weapons,First Arrest Offnece_Other Offence,First Arrest Offnece_Robbery,First Arrest Offnece_Sexual Offences,First Arrest Offnece_Theft,Domestic Abuse Flag_No,Domestic Abuse Flag_Yes,mean_arrests,Date,Borough
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Barking and Dagenham
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Barnet
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Bexley
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Brent
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Bromley
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Camden
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Westminster
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Croydon
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Ealing
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Enfield
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Greenwich
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Hackney
88,147,0,0,142,8,85,55,57,28,32,63,34,19,14,20,15,18,19,38,19,15,24,170,65,43.58569787,2019-01-01,Hammersmith and Fulham
