Borough,White,Asian,Black,Mixed/ Other,Total,Date,White %,Asian %,Black %,Mixed/ Other %
City of London,12000,0,0,0,12000,2019-01-01,1.0,0.0,0.0,0.0
Barking and Dagenham,108000,43000,59000,8000,219000,2019-01-01,0.4931506849315068,0.1963470319634703,0.2694063926940639,0.0365296803652968
Barnet,257000,61000,24000,55000,396000,2019-01-01,0.648989898989899,0.15404040404040403,0.06060606060606061,0.1388888888888889
Bexley,207000,15000,20000,9000,251000,2019-01-01,0.8247011952191236,0.05976095617529881,0.0796812749003984,0.035856573705179286
Brent,124000,101000,53000,53000,330000,2019-01-01,0.37575757575757573,0.30606060606060603,0.1606060606060606,0.1606060606060606
Bromley,262000,26000,24000,23000,335000,2019-01-01,0.7820895522388059,0.07761194029850746,0.07164179104477612,0.06865671641791045
Camden,162000,30000,24000,44000,260000,2019-01-01,0.6230769230769231,0.11538461538461539,0.09230769230769231,0.16923076923076924
Croydon,228000,64000,75000,22000,389000,2019-01-01,0.5861182519280206,0.16452442159383032,0.1928020565552699,0.056555269922879174
Ealing,172000,88000,40000,44000,343000,2019-01-01,0.5014577259475219,0.2565597667638484,0.11661807580174927,0.1282798833819242
Enfield,199000,47000,61000,33000,340000,2019-01-01,0.5852941176470589,0.13823529411764707,0.17941176470588235,0.09705882352941177
Greenwich,175000,43000,53000,18000,289000,2019-01-01,0.6055363321799307,0.14878892733564014,0.18339100346020762,0.06228373702422145
Hackney,159000,24000,70000,31000,285000,2019-01-01,0.5578947368421052,0.08421052631578947,0.24561403508771928,0.10877192982456141
Hammersmith and Fulham,126000,14000,21000,19000,180000,2019-01-01,0.7,0.07777777777777778,0.11666666666666667,0.10555555555555556
Haringey,182000,16000,39000,43000,279000,2019-01-01,0.6523297491039427,0.05734767025089606,0.13978494623655913,0.15412186379928317
Harrow,106000,108000,8000,28000,250000,2019-01-01,0.424,0.432,0.032,0.112
Havering,202000,28000,23000,7000,261000,2019-01-01,0.7739463601532567,0.10727969348659004,0.08812260536398467,0.02681992337164751
Hillingdon,140000,122000,27000,21000,309000,2019-01-01,0.45307443365695793,0.3948220064724919,0.08737864077669903,0.06796116504854369
Hounslow,125000,97000,23000,27000,273000,2019-01-01,0.45787545787545786,0.3553113553113553,0.08424908424908426,0.0989010989010989
Islington,158000,17000,35000,29000,240000,2019-01-01,0.6583333333333333,0.07083333333333333,0.14583333333333334,0.12083333333333333
Kensington and Chelsea,102000,18000,15000,18000,153000,2019-01-01,0.6666666666666666,0.11764705882352941,0.09803921568627451,0.11764705882352941
Kingston upon Thames,130000,23000,8000,18000,179000,2019-01-01,0.7262569832402235,0.12849162011173185,0.0446927374301676,0.1005586592178771
Lambeth,200000,21000,62000,43000,326000,2019-01-01,0.6134969325153374,0.06441717791411043,0.1901840490797546,0.13190184049079753
Lewisham,195000,23000,71000,21000,309000,2019-01-01,0.6310679611650486,0.0744336569579288,0.2297734627831715,0.06796116504854369
Merton,121000,39000,25000,24000,209000,2019-01-01,0.5789473684210527,0.18660287081339713,0.11961722488038277,0.11483253588516747
Newham,122000,137000,65000,35000,358000,2019-01-01,0.3407821229050279,0.38268156424581007,0.18156424581005587,0.09776536312849161
Redbridge,145000,142000,16000,8000,311000,2019-01-01,0.4662379421221865,0.4565916398713826,0.05144694533762058,0.02572347266881029
Richmond upon Thames,167000,11000,3000,16000,198000,2019-01-01,0.8434343434343434,0.05555555555555555,0.015151515151515152,0.08080808080808081
Southwark,183000,21000,77000,39000,320000,2019-01-01,0.571875,0.065625,0.240625,0.121875
Sutton,161000,23000,7000,15000,206000,2019-01-01,0.7815533980582524,0.11165048543689321,0.03398058252427184,0.07281553398058252
Tower Hamlets,135000,150000,15000,20000,320000,2019-01-01,0.421875,0.46875,0.046875,0.0625
Waltham Forest,180000,34000,36000,30000,280000,2019-01-01,0.6428571428571429,0.12142857142857143,0.12857142857142856,0.10714285714285714
Wandsworth,245000,39000,21000,18000,324000,2019-01-01,0.7561728395061729,0.12037037037037036,0.06481481481481481,0.05555555555555555
Westminster,140000,31000,15000,53000,240000,2019-01-01,0.5833333333333334,0.12916666666666668,0.0625,0.22083333333333333
North East,2475000,71000,25000,50000,2621000,2019-01-01,0.9442960702022128,0.027088897367417018,0.009538344143456695,0.01907668828691339
North West,5045000,486000,134000,144000,5809000,2019-01-01,0.8684799449130659,0.08366328111551041,0.023067653640902047,0.024789120330521604
