Date,Borough,Outcome type_Formal action is not in the public interest,Outcome type_Investigation complete; no suspect identified,Outcome type_Local resolution,Outcome type_Offender given a caution,Outcome type_Offender given a drugs possession warning,Outcome type_Offender given penalty notice,Outcome type_Suspect charged,Outcome type_Suspect charged as part of another case,Outcome type_Unable to prosecute suspect,Total
2021-04-01,Barking and Dagenham,0,643,70,3,1,14,41,0,0,772
2021-04-01,Barnet,0,781,41,6,0,9,51,0,0,888
2021-04-01,Bexley,0,328,34,6,0,7,13,0,0,388
2021-04-01,Birmingham,0,1,0,0,0,0,0,0,0,1
2021-04-01,Braintree,0,1,0,0,0,0,0,0,0,1
2021-04-01,Brent,0,721,65,10,1,23,84,0,0,904
2021-04-01,Brighton and Hove,0,1,0,0,0,0,0,0,0,1
2021-04-01,Bromley,0,651,48,13,0,6,34,0,0,752
2021-04-01,Broxbourne,0,2,1,0,0,0,0,0,0,3
2021-04-01,Camden,0,942,37,3,0,14,53,0,0,1049
2021-04-01,City of London,0,19,1,0,0,0,0,0,0,20
2021-04-01,Coventry,0,1,0,0,0,0,0,0,0,1
2021-04-01,Croydon,0,919,66,16,0,29,71,0,0,1101
2021-04-01,Dartford,0,1,0,0,0,0,0,0,0,1
2021-04-01,Ealing,0,890,32,10,0,13,65,0,0,1010
2021-04-01,East Hampshire,0,1,0,0,0,0,0,0,0,1
2021-04-01,Elmbridge,0,0,0,0,0,2,0,0,0,2
2021-04-01,Enfield,0,910,56,10,3,11,35,0,0,1025
2021-04-01,Epping Forest,0,5,0,0,0,1,2,0,0,8
2021-04-01,Epsom and Ewell,0,4,1,0,0,0,0,0,0,5
2021-04-01,Greenwich,0,580,72,10,2,26,39,0,0,729
2021-04-01,Guildford,0,0,1,0,0,0,0,0,0,1
2021-04-01,Hackney,0,845,49,18,0,30,40,0,0,982
2021-04-01,Hammersmith and Fulham,0,530,71,6,0,3,35,0,0,645
2021-04-01,Haringey,0,919,47,10,1,24,51,0,0,1052
2021-04-01,Harrow,0,530,49,4,0,14,41,0,0,638
2021-04-01,Havering,0,400,55,10,0,11,23,0,0,499
2021-04-01,Hertsmere,0,2,0,0,0,0,0,0,0,2
2021-04-01,Hillingdon,0,784,68,6,1,15,62,0,0,936
2021-04-01,Hounslow,0,688,60,8,0,8,45,0,0,809
2021-04-01,Islington,0,829,53,9,1,12,27,0,0,931
2021-04-01,Kensington and Chelsea,0,571,67,7,0,13,37,0,0,695
2021-04-01,Kingston upon Thames,0,303,41,7,0,15,18,0,0,384
2021-04-01,Lambeth,0,928,52,7,2,13,73,0,0,1075
2021-04-01,Lewisham,0,688,55,9,1,13,55,0,0,821
2021-04-01,Merthyr Tydfil,0,1,0,0,0,0,0,0,0,1
2021-04-01,Merton,0,424,19,4,0,6,32,0,0,485
2021-04-01,Mid Suffolk,0,1,0,0,0,0,0,0,0,1
2021-04-01,Mole Valley,0,0,0,0,0,0,1,0,0,1
2021-04-01,Newham,0,748,109,13,0,30,92,0,0,992
2021-04-01,Oxford,0,1,0,0,0,0,0,0,0,1
2021-04-01,Redbridge,0,713,45,4,1,13,47,0,0,823
2021-04-01,Reigate and Banstead,0,3,0,0,0,0,0,0,0,3
2021-04-01,Richmond upon Thames,0,433,12,5,0,2,18,0,0,470
2021-04-01,Sevenoaks,0,1,0,0,0,0,0,0,0,1
2021-04-01,South Bucks,0,1,1,0,0,0,0,0,0,2
2021-04-01,Southwark,0,1103,84,4,1,22,64,0,0,1278
2021-04-01,Spelthorne,0,1,0,0,0,0,0,0,0,1
2021-04-01,Sutton,0,403,31,9,0,5,12,0,0,460
2021-04-01,Tandridge,0,2,0,0,0,0,0,0,0,2
2021-04-01,Three Rivers,0,1,0,0,0,0,0,0,0,1
2021-04-01,Tower Hamlets,0,991,59,20,2,45,127,0,0,1244
2021-04-01,Walsall,0,1,0,0,0,0,0,0,0,1
2021-04-01,Waltham Forest,0,674,103,8,0,19,52,0,0,856
2021-04-01,Wandsworth,0,826,33,4,2,3,30,0,0,898
2021-04-01,Westminster,0,1276,137,13,2,20,72,0,0,1520
2021-04-01,Winchester,0,1,0,0,0,0,0,0,0,1
2021-04-01,Windsor and Maidenhead,0,1,0,0,0,0,0,0,0,1
2021-04-01,Wycombe,0,0,0,0,0,0,1,0,0,1
2021-05-01,Barking and Dagenham,0,713,72,16,1,23,53,0,0,878
2021-05-01,Barnet,0,1119,44,12,1,14,59,0,0,1249
2021-05-01,Basildon,0,1,0,0,0,0,0,0,0,1
2021-05-01,Bath and North East Somerset,0,1,0,0,0,0,0,0,0,1
2021-05-01,Bexley,0,538,46,7,1,5,27,0,0,624
2021-05-01,Braintree,0,1,0,0,0,0,0,0,0,1
2021-05-01,Brent,0,1089,72,13,1,17,92,0,0,1284
2021-05-01,Brentwood,0,1,0,0,0,0,0,0,0,1
2021-05-01,Bromley,0,1015,72,19,0,11,41,0,0,1158
2021-05-01,Broxbourne,0,2,0,0,0,0,0,0,0,2
2021-05-01,Camden,0,1229,43,8,0,9,59,0,0,1348
2021-05-01,Canterbury,0,1,0,0,0,0,0,0,0,1
2021-05-01,Cardiff,0,1,0,0,0,0,0,0,0,1
2021-05-01,City of London,0,29,0,0,0,1,3,0,0,33
2021-05-01,Crawley,0,3,0,0,0,0,0,0,0,3
2021-05-01,Croydon,0,946,83,14,0,30,60,0,0,1133
2021-05-01,Dacorum,0,1,0,0,0,0,0,0,0,1
2021-05-01,Dartford,0,4,0,0,0,0,1,0,0,5
2021-05-01,Ealing,0,1312,36,5,1,18,64,0,0,1436
2021-05-01,Elmbridge,0,5,0,0,0,0,0,0,0,5
2021-05-01,Enfield,0,954,65,18,1,11,76,0,0,1125
2021-05-01,Epping Forest,0,2,0,0,0,0,0,0,0,2
2021-05-01,Epsom and Ewell,0,4,0,0,0,0,0,0,0,4
2021-05-01,Gateshead,0,3,0,0,0,0,0,0,0,3
2021-05-01,Greenwich,0,913,71,13,1,9,67,0,0,1074
2021-05-01,Hackney,0,1055,39,10,1,17,69,0,0,1191
2021-05-01,Hammersmith and Fulham,0,895,50,7,0,6,42,0,0,1000
2021-05-01,Haringey,0,969,31,16,1,19,80,0,0,1116
2021-05-01,Harrow,0,490,37,4,0,8,31,0,0,570
2021-05-01,Havering,0,576,67,11,0,7,65,0,0,726
2021-05-01,Hertsmere,0,3,0,0,0,0,0,0,0,3
2021-05-01,Hillingdon,0,841,59,12,1,16,84,0,0,1013
2021-05-01,Hounslow,0,1106,46,6,1,12,70,0,0,1241
2021-05-01,Islington,0,1105,46,7,1,13,58,0,0,1230
2021-05-01,Kensington and Chelsea,0,823,67,11,1,15,34,0,0,951
2021-05-01,Kingston upon Hull,0,1,0,0,0,0,0,0,0,1
2021-05-01,Kingston upon Thames,0,388,56,10,0,6,24,0,0,484
2021-05-01,Lambeth,0,1359,91,13,0,24,118,0,0,1605
2021-05-01,Lewisham,0,1041,63,11,3,16,60,0,0,1194
2021-05-01,Lincoln,0,1,0,0,0,0,0,0,0,1
2021-05-01,Liverpool,0,3,0,0,0,0,0,0,0,3
2021-05-01,Maidstone,0,1,0,0,0,0,0,0,0,1
2021-05-01,Merton,0,390,29,13,0,4,41,0,0,477
2021-05-01,Newham,0,1164,135,30,0,50,111,0,0,1490
2021-05-01,North Hertfordshire,0,1,0,0,0,0,0,0,0,1
2021-05-01,North Norfolk,0,4,0,0,0,0,0,0,0,4
2021-05-01,Pendle,0,3,0,0,0,0,0,0,0,3
2021-05-01,Redbridge,0,963,60,12,1,19,53,0,0,1108
2021-05-01,Reigate and Banstead,0,0,0,0,0,0,1,0,0,1
2021-05-01,Richmond upon Thames,0,473,18,8,0,3,24,0,0,526
2021-05-01,South Oxfordshire,0,0,0,0,0,0,2,0,0,2
2021-05-01,Southwark,0,1260,81,10,2,14,79,0,0,1446
2021-05-01,Spelthorne,0,2,0,0,0,0,0,0,0,2
2021-05-01,Sutton,0,438,22,6,0,7,14,0,0,487
2021-05-01,Tandridge,0,1,0,0,0,0,1,0,0,2
2021-05-01,Three Rivers,0,6,0,0,0,0,1,0,0,7
2021-05-01,Thurrock,0,1,0,0,0,0,0,0,0,1
2021-05-01,Torfaen,0,1,0,0,0,0,0,0,0,1
2021-05-01,Tower Hamlets,0,1294,72,14,2,39,97,0,9,1527
2021-05-01,Walsall,0,1,0,0,0,0,0,0,0,1
2021-05-01,Waltham Forest,0,678,96,11,0,13,94,0,0,892
2021-05-01,Wandsworth,0,836,41,17,0,3,51,0,0,948
2021-05-01,Westminster,0,2108,153,12,1,14,124,0,0,2412
2021-05-01,Woking,0,0,0,0,0,0,1,0,0,1
2021-05-01,Wychavon,0,1,0,0,0,0,0,0,0,1
2021-05-01,Wycombe,0,0,0,0,0,0,1,0,0,1
2021-06-01,Barking and Dagenham,0,755,80,13,0,25,68,0,0,941
2021-06-01,Barnet,0,1683,49,10,1,15,62,0,0,1820
2021-06-01,Bedford,0,1,0,0,0,0,0,0,0,1
2021-06-01,Bexley,0,704,59,15,0,9,29,0,0,816
2021-06-01,Birmingham,0,3,0,0,0,0,1,0,0,4
2021-06-01,Boston,0,1,0,0,0,0,0,0,0,1
2021-06-01,Braintree,0,3,0,0,0,0,2,0,0,5
2021-06-01,Brent,0,1252,84,14,0,24,81,0,0,1455
2021-06-01,Brentwood,0,3,0,0,0,0,0,0,0,3
2021-06-01,Bristol,0,1,0,0,0,0,0,0,0,1
2021-06-01,Bromley,0,1295,48,17,0,7,62,0,0,1429
2021-06-01,Broxbourne,0,1,0,0,0,0,0,0,0,1
2021-06-01,Bury,0,1,0,0,0,0,0,0,0,1
2021-06-01,Camden,0,1473,43,15,0,12,91,0,0,1634
2021-06-01,Central Bedfordshire,0,1,0,0,0,0,0,0,0,1
2021-06-01,Chelmsford,0,5,0,0,0,0,0,0,0,5
2021-06-01,Cherwell,0,1,0,0,0,0,0,0,0,1
