Date,Borough,Rank Constable,Rank PSCO
2018-05-01,Barking And Dagenham,278.0,179919.0
2018-05-01,Camden,27.0,175570.0
2018-05-01,Havering,97968.0,77872.0
2018-05-01,Islington,19.0,12.0
2018-05-01,Kingston,75.0,4.0
2018-05-01,Merton,14.0,188298.0
2018-05-01,Redbridge,61489.0,88972.0
2018-05-01,Richmond,14.0,10.0
2018-05-01,Wandsworth,21.0,8.0
2018-06-01,Barking And Dagenham,472.0,179919.0
2018-06-01,Camden,28.0,175570.0
2018-06-01,Ealing,22.0,14.0
2018-06-01,Havering,97968.0,77872.0
2018-06-01,Hillingdon,199.0,198859.0
2018-06-01,Hounslow,85.0,96722.0
2018-06-01,Islington,19.0,12.0
2018-06-01,Kingston,75.0,4.0
2018-06-01,Merton,14.0,188298.0
2018-06-01,Redbridge,61489.0,88972.0
2018-06-01,Richmond,15.0,11.0
2018-06-01,Wandsworth,21.0,8.0
2018-07-01,Barking And Dagenham,472.0,179919.0
2018-07-01,Camden,28.0,175570.0
2018-07-01,Ealing,23.0,14.0
2018-07-01,Havering,97968.0,77872.0
2018-07-01,Hillingdon,1728.0,198859.0
2018-07-01,Hounslow,86.0,96722.0
2018-07-01,Islington,20.0,12.0
2018-07-01,Kingston,76.0,4.0
2018-07-01,Merton,90.0,279409.0
2018-07-01,Redbridge,61489.0,88972.0
2018-07-01,Richmond,15.0,11.0
2018-07-01,Wandsworth,22.0,9.0
2018-08-01,Barking And Dagenham,474.0,179919.0
2018-08-01,Camden,28.0,175570.0
2018-08-01,Ealing,23.0,14.0
2018-08-01,Havering,97969.0,77872.0
2018-08-01,Hillingdon,1728.0,198859.0
2018-08-01,Hounslow,86.0,96722.0
2018-08-01,Islington,20.0,12.0
2018-08-01,Kingston,76.0,4.0
2018-08-01,Merton,90.0,279410.0
2018-08-01,Redbridge,61489.0,88972.0
2018-08-01,Richmond,15.0,11.0
2018-08-01,Wandsworth,22.0,9.0
2018-09-01,Barking And Dagenham,489.0,179919.0
2018-09-01,Camden,31.0,175570.0
2018-09-01,Ealing,24.0,14.0
2018-09-01,Havering,97969.0,77872.0
2018-09-01,Hillingdon,1728.0,198859.0
2018-09-01,Hounslow,88.0,96722.0
2018-09-01,Islington,20.0,27.0
2018-09-01,Kingston,76.0,140521.0
2018-09-01,Merton,90.0,279410.0
2018-09-01,Redbridge,61489.0,88972.0
2018-09-01,Richmond,16.0,11.0
2018-09-01,Wandsworth,23.0,12.0
2018-10-01,Barking And Dagenham,489.0,179919.0
2018-10-01,Camden,31.0,175570.0
2018-10-01,Ealing,24.0,14.0
2018-10-01,Hackney,11.0,63210.0
2018-10-01,Havering,97969.0,77872.0
2018-10-01,Hillingdon,1728.0,198859.0
2018-10-01,Hounslow,88.0,96724.0
2018-10-01,Islington,20.0,27.0
2018-10-01,Kingston,76.0,140521.0
2018-10-01,Merton,91.0,279410.0
2018-10-01,Newham,26.0,15.0
2018-10-01,Redbridge,61495.0,88971.0
2018-10-01,Richmond,16.0,11.0
2018-10-01,Tower Hamlets,23.0,286678.0
2018-10-01,Waltham Forest,14.0,8.0
2018-10-01,Wandsworth,26.0,12.0
2018-11-01,Barking And Dagenham,566.0,179920.0
2018-11-01,Barnet,30.0,3.0
2018-11-01,Bexley,2086.0,242046.0
2018-11-01,Brent,22.0,76390.0
2018-11-01,Camden,33.0,175570.0
2018-11-01,Ealing,24.0,14.0
2018-11-01,Greenwich,21.0,186121.0
2018-11-01,Hackney,16.0,63212.0
2018-11-01,Harrow,30.0,
2018-11-01,Havering,266043.0,77873.0
2018-11-01,Hillingdon,1803.0,198859.0
2018-11-01,Hounslow,88.0,96724.0
2018-11-01,Islington,25.0,27.0
2018-11-01,Kingston,76.0,140521.0
2018-11-01,Lewisham,18.0,188900.0
2018-11-01,Merton,92.0,361355.0
2018-11-01,Newham,30.0,15.0
2018-11-01,Redbridge,61495.0,88974.0
2018-11-01,Richmond,16.0,11.0
2018-11-01,Tower Hamlets,24.0,286678.0
2018-11-01,Waltham Forest,19.0,10.0
2018-11-01,Wandsworth,26.0,12.0
2018-12-01,Barking And Dagenham,670.0,179920.0
2018-12-01,Barnet,30.0,3.0
2018-12-01,Bexley,2086.0,436562.0
2018-12-01,Brent,22.0,76393.0
2018-12-01,Camden,33.0,175570.0
2018-12-01,Ealing,24.0,15.0
2018-12-01,Greenwich,22.0,186121.0
2018-12-01,Hackney,18.0,63212.0
2018-12-01,Harrow,30.0,
2018-12-01,Havering,266043.0,77873.0
2018-12-01,Hillingdon,1803.0,198859.0
2018-12-01,Hounslow,89.0,96724.0
2018-12-01,Islington,26.0,27.0
2018-12-01,Kingston,76.0,140523.0
2018-12-01,Lewisham,18.0,188900.0
2018-12-01,Merton,92.0,361355.0
2018-12-01,Newham,30.0,15.0
2018-12-01,Redbridge,61669.0,88974.0
2018-12-01,Richmond,16.0,11.0
2018-12-01,Tower Hamlets,25.0,286679.0
2018-12-01,Waltham Forest,23.0,12.0
2018-12-01,Wandsworth,26.0,12.0
2019-01-01,Barking And Dagenham,670.0,179920.0
2019-01-01,Barnet,32.0,72240.0
2019-01-01,Bexley,2086.0,436562.0
2019-01-01,Brent,89198.0,76402.0
2019-01-01,Camden,70.0,175570.0
2019-01-01,Ealing,24.0,15.0
2019-01-01,Enfield,968.0,367700.0
2019-01-01,Greenwich,22.0,255760.0
2019-01-01,Hackney,20.0,63212.0
2019-01-01,Haringey,31.0,13.0
2019-01-01,Harrow,30.0,8.0
2019-01-01,Havering,266043.0,77873.0
2019-01-01,Hillingdon,1806.0,198859.0
2019-01-01,Hounslow,91.0,96724.0
2019-01-01,Islington,26.0,27.0
