Date,Borough,Abstraction Type_Aid,Abstraction Type_CAD,Abstraction Type_Court,Abstraction Type_Custody,Abstraction Type_Local Aid,Abstraction Type_Not Abstracted,Abstraction Type_Staffing Up,Abstraction Type_Training
2018-05-01,Barking And Dagenham,0.0,0.0,540.0,0.0,0.0,242405.0,0.0,5640.0
2018-05-01,Camden,540.0,720.0,540.0,0.0,9750.0,211500.0,0.0,10230.0
2018-05-01,Havering,540.0,0.0,0.0,0.0,18240.0,184305.0,0.0,10500.0
2018-05-01,Islington,5820.0,0.0,1020.0,0.0,21045.0,247117.0,0.0,5580.0
2018-05-01,Kingston,0.0,0.0,0.0,0.0,3240.0,112065.0,0.0,1980.0
2018-05-01,Merton,1500.0,0.0,1860.0,0.0,14055.0,208380.0,0.0,7470.0
2018-05-01,Redbridge,630.0,0.0,4200.0,0.0,7440.0,184200.0,0.0,14550.0
2018-05-01,Richmond,12120.0,0.0,420.0,0.0,11220.0,160314.0,0.0,8100.0
2018-05-01,Wandsworth,540.0,0.0,0.0,0.0,17535.0,193055.0,0.0,11880.0
2018-06-01,Barking And Dagenham,5520.0,0.0,0.0,0.0,0.0,259547.0,0.0,10380.0
2018-06-01,Camden,0.0,540.0,0.0,0.0,6420.0,237192.0,0.0,7710.0
2018-06-01,Ealing,11820.0,0.0,2520.0,0.0,5970.0,277920.0,0.0,8070.0
2018-06-01,Havering,13590.0,0.0,1140.0,0.0,5220.0,191700.0,0.0,11220.0
2018-06-01,Hillingdon,0.0,0.0,390.0,0.0,1620.0,186324.0,0.0,15510.0
2018-06-01,Hounslow,90.0,0.0,0.0,0.0,540.0,160294.0,0.0,10170.0
2018-06-01,Islington,0.0,0.0,2160.0,0.0,17670.0,237686.0,0.0,13440.0
2018-06-01,Kingston,0.0,0.0,0.0,0.0,540.0,129810.0,0.0,6300.0
2018-06-01,Merton,0.0,0.0,0.0,0.0,240.0,230115.0,0.0,2280.0
2018-06-01,Redbridge,17820.0,0.0,3600.0,0.0,7260.0,183510.0,0.0,10980.0
2018-06-01,Richmond,0.0,0.0,540.0,0.0,18480.0,189015.0,0.0,4380.0
2018-06-01,Wandsworth,2280.0,0.0,900.0,0.0,720.0,239065.0,0.0,27780.0
2018-07-01,Barking And Dagenham,9360.0,0.0,540.0,0.0,4500.0,216675.0,2220.0,13020.0
2018-07-01,Camden,2220.0,0.0,1080.0,0.0,8400.0,235465.0,540.0,2825.0
2018-07-01,Ealing,3690.0,0.0,2640.0,0.0,17880.0,287832.0,8812.0,6091.0
2018-07-01,Havering,17340.0,0.0,0.0,0.0,14940.0,160743.0,1200.0,12810.0
2018-07-01,Hillingdon,1110.0,0.0,1080.0,720.0,0.0,208755.0,4860.0,6780.0
2018-07-01,Hounslow,2220.0,0.0,1200.0,0.0,1980.0,170256.0,8460.0,5940.0
2018-07-01,Islington,32250.0,0.0,270.0,0.0,11400.0,229890.0,0.0,8940.0
2018-07-01,Kingston,2730.0,0.0,990.0,0.0,1140.0,135120.0,1020.0,2220.0
2018-07-01,Merton,17880.0,0.0,1080.0,0.0,0.0,262543.0,2940.0,4860.0
2018-07-01,Redbridge,18030.0,0.0,5520.0,0.0,7440.0,167264.0,540.0,12750.0
2018-07-01,Richmond,6300.0,0.0,540.0,0.0,25620.0,173570.0,3240.0,7620.0
2018-07-01,Wandsworth,12165.0,0.0,480.0,0.0,3180.0,239520.0,540.0,13980.0
2018-08-01,Barking And Dagenham,600.0,0.0,570.0,0.0,21120.0,193635.0,0.0,8355.0
2018-08-01,Camden,3720.0,0.0,1080.0,0.0,7800.0,225960.0,0.0,5400.0
2018-08-01,Ealing,43620.0,0.0,3720.0,0.0,5460.0,255540.0,1080.0,18120.0
2018-08-01,Havering,1680.0,0.0,0.0,0.0,1620.0,194115.0,0.0,4200.0
2018-08-01,Hillingdon,8850.0,0.0,1080.0,0.0,2760.0,178215.0,1140.0,7740.0
2018-08-01,Hounslow,8880.0,0.0,540.0,0.0,0.0,166599.0,600.0,8760.0
2018-08-01,Islington,5100.0,0.0,1080.0,0.0,5760.0,254401.0,0.0,16320.0
2018-08-01,Kingston,4860.0,0.0,0.0,0.0,1080.0,151825.0,0.0,480.0
2018-08-01,Merton,2700.0,0.0,3360.0,0.0,4980.0,246695.0,1800.0,2280.0
2018-08-01,Redbridge,2520.0,0.0,4260.0,0.0,18480.0,193200.0,0.0,5160.0
2018-08-01,Richmond,4860.0,0.0,60.0,0.0,3960.0,197346.0,1620.0,4200.0
2018-08-01,Wandsworth,4740.0,0.0,1080.0,0.0,4620.0,238350.0,600.0,9360.0
2018-09-01,Barking And Dagenham,0.0,0.0,1530.0,0.0,2160.0,232631.0,0.0,0.0
2018-09-01,Camden,0.0,0.0,1080.0,0.0,3420.0,237515.0,1080.0,11580.0
2018-09-01,Ealing,9465.0,0.0,3330.0,0.0,15120.0,289005.0,0.0,11880.0
2018-09-01,Havering,3420.0,0.0,0.0,0.0,0.0,197915.0,0.0,3000.0
2018-09-01,Hillingdon,3900.0,0.0,1020.0,0.0,840.0,199120.0,0.0,4200.0
2018-09-01,Hounslow,4830.0,0.0,540.0,0.0,4440.0,178574.0,0.0,6900.0
2018-09-01,Islington,1080.0,0.0,0.0,0.0,1560.0,248938.0,540.0,10200.0
2018-09-01,Kingston,0.0,0.0,540.0,0.0,6510.0,144403.0,0.0,1680.0
2018-09-01,Merton,0.0,0.0,840.0,0.0,2610.0,255060.0,0.0,1260.0
2018-09-01,Redbridge,14970.0,0.0,1080.0,0.0,0.0,188761.0,0.0,1680.0
2018-09-01,Richmond,0.0,0.0,0.0,0.0,9030.0,197265.0,0.0,4200.0
2018-09-01,Wandsworth,15180.0,0.0,1500.0,0.0,12030.0,235785.0,0.0,5580.0
2018-10-01,Barking And Dagenham,2220.0,0.0,840.0,0.0,2340.0,270645.0,540.0,9720.0
2018-10-01,Camden,540.0,0.0,0.0,0.0,36390.0,257482.0,0.0,5985.0
2018-10-01,Ealing,2820.0,0.0,3060.0,0.0,6120.0,321407.0,0.0,20310.0
